text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
@dharamwwe Hi! The investigation will be internal and not shared with public. Also please contact our support for further assistance. ^RW,FALSE,0,dharamwwe,05-07-2016 15:21,FALSE,7.50348E+17,7.50349E+17,81630926,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
"@Rebecca_Dolan Thanks for the update. Just to confirm, was it delivered to the address that was selected during check-out? ^KC",FALSE,0,Rebecca_Dolan,05-07-2016 15:21,FALSE,7.50345E+17,7.50349E+17,101789625,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@Hollywoodkara Check out the steps here: https://t.co/r4sTIs5JG4! ^JW,FALSE,0,Hollywoodkara,05-07-2016 15:21,FALSE,7.50343E+17,7.50349E+17,1504846711,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@mjm1959 I'm sorry for the trouble! What does the current tracking for the order show: https://t.co/Y5jpI9gRhE? ^KL,FALSE,0,mjm1959,05-07-2016 15:20,FALSE,7.50344E+17,7.50349E+17,58065783,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@PJICON Have you had a moment to discuss this with our Support team? If not: https://t.co/EKXRLsnxJu ^JW,FALSE,0,PJICON,05-07-2016 15:18,FALSE,7.50343E+17,7.50348E+17,109946150,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@lumpusme Thanks for letting us know! We'll pass along your feedback. Let us know if we can assist with anything. ^RM,FALSE,0,lumpusme,05-07-2016 15:17,FALSE,7.50327E+17,7.50348E+17,612433910,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@Imperfect_Karan Hi! Request you to wait till the estimated delivery date. ^SG,FALSE,0,Imperfect_Karan,05-07-2016 15:15,FALSE,7.50347E+17,7.50347E+17,60319328,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
"@dharamwwe https://t.co/rS49hgaADF for assistance.Please don't provide your order details,we consider it to be personal information.(3/3)^SP",FALSE,0,dharamwwe,05-07-2016 15:15,FALSE,7.50345E+17,7.50347E+17,81630926,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@ChetHarrison That does seem excessive! We'd like to take a look. Please provide order-specific info here: https://t.co/YiyHHjLcNc. ^LP,FALSE,0,ChetHarrison,05-07-2016 15:14,FALSE,7.50339E+17,7.50347E+17,91963037,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
"@dharamwwe and I will forwarded your feedback to our concern team, so that they are aware of this issue. Please contact us here:  (2/3) ^SP",FALSE,0,dharamwwe,05-07-2016 15:14,FALSE,7.50345E+17,7.50347E+17,81630926,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
"@supremetakico Have you cleared cache/cookies, or tried a diff browser? Have you received any e-mails from our Account Specialists? ^KC",FALSE,0,supremetakico,05-07-2016 15:13,FALSE,7.50341E+17,7.50347E+17,2896475794,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
"@FreezeMarie To close your account fully, it cannot be on hold. Did the agent mention contacting our Account Specialists? ^ME",FALSE,0,FreezeMarie,05-07-2016 15:13,FALSE,7.50341E+17,7.50347E+17,1638894907,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@dharamwwe Hi! I'm sorry about that. It is a matter of concern when delivery agent behaves in such a way. I've noted your comments (1/3) ^SP,FALSE,0,dharamwwe,05-07-2016 15:12,FALSE,7.50345E+17,7.50347E+17,81630926,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
"@LuLu__Cooper Sorry, we don't DM. Without giving personal info, can you tell us what the issue is? ^MC",FALSE,0,LuLu__Cooper,05-07-2016 15:12,FALSE,7.50341E+17,7.50347E+17,1114206260,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
